
25-JUL-06,Naharindus,Emkay,Buy,158.90,305.00,52.00,-67.28,-87.84,Pending
25-JUL-06,Ralli India,Emkay,Buy,15.89,19.40,241.00,1416.68,463.76,Achieved
25-JUL-06,Tvs Motor ,Karvy,Market Performer,39.95,42.50,245.55,514.64,128.47,Achieved
25-JUL-06,Nitco ,Karvy,Buy,135.30,190.00,27.05,-80.01,-92.57,Pending
26-JUL-06,Ultracemco,HDFC Sec,Result Review,684.50,NA,3040.25,344.16,68.29,NA
26-JUL-06,Inox Leisure,Karvy,Outperformer,110.30,129.00,176.60,60.11,-39.33,Achieved
26-JUL-06,Elder Pharma,Angel,Buy,320.00,433.00,82.30,-74.28,-90.26,Pending
27-JUL-06,Ansalapi,HDFC Sec,Outperformer,182.00,NA,17.20,-90.55,-96.38,NA
27-JUL-06,Suryalaxmi,Karvy,Buy,83.25,167.00,91.00,9.31,-58.10,Pending
27-JUL-06,Varun Shipng,Karvy,Buy,69.85,97.00,11.25,-83.89,-93.83,Pending
27-JUL-06,Lupin ,Karvy,Outperformer,82.76,102.50,1877.70,2168.85,769.75,Achieved
27-JUL-06,Nationalum,Angel,Buy,52.00,71.25,40.00,-23.08,-70.51,Pending
27-JUL-06,Tata Motors,Angel,Buy,141.48,183.96,444.80,214.39,20.52,Achieved
27-JUL-06,Ultracemco,Angel,Buy,718.70,850.00,3040.25,323.02,62.16,Achieved
27-JUL-06,Bankindia,Angel,Buy,108.10,165.00,179.65,66.19,-36.29,Achieved
27-JUL-06,Icici Bank,Angel,Buy,108.82,140.00,312.15,186.85,9.96,Achieved
27-JUL-06,Union Bank,Angel,Buy,95.00,130.00,155.95,64.16,-37.07,Achieved
27-JUL-06,Abb,Brics,Buy,503.24,600.60,1330.20,164.33,1.33,Achieved
27-JUL-06,Union Bank,Brics,Buy,95.00,134.00,155.95,64.16,-37.07,Achieved
27-JUL-06,Tata Motors,Emkay,Buy,141.48,NA,444.80,214.39,20.52,NA
27-JUL-06,Mercator,Karvy,Buy,29.90,52.00,18.85,-36.96,-75.83,Pending
27-JUL-06,Cyien,HDFC Sec,Result Review,179.41,NA,557.50,210.74,19.12,NA
27-JUL-06,Asian Paints,HDFC Sec,Results Preview,58.66,NA,762.00,1199.01,397.97,NA
28-JUL-06,Dishman Phar,HDFC Sec,Results Preview,153.90,NA,164.60,6.95,-59.23,NA
28-JUL-06,Mastek,Karvy,Buy,352.15,460.00,198.40,-43.66,-78.53,Pending
28-JUL-06,Microtech,Brics,Buy,76.15,203.50,3.61,-95.26,-98.19,Pending
28-JUL-06,Karurvysya,Karvy,Outperformer,114.06,133.45,481.30,321.97,60.84,Achieved
28-JUL-06,Ramcocem,Karvy,Outperformer,135.46,160.25,351.35,159.38,-1.14,Achieved
28-JUL-06,Maruti Suzuki,Karvy,Buy,768.40,NA,4033.90,424.97,100.10,NA
28-JUL-06,Astramicro,Karvy,Market Performer,115.47,130.01,109.65,-5.04,-63.81,Pending
29-JUL-06,Himat Seide,Emkay,Result Update,96.25,158.00,91.85,-4.57,-63.63,Pending
29-JUL-06,Steel Author,Angel,Buy,71.45,86.00,64.35,-9.94,-65.67,Pending
31-JUL-06,Grasim In,HDFC Sec,Results Review,2076.55,NA,3516.40,69.34,-35.07,NA
31-JUL-06,Grasim In,Angel,Result Update,2076.55,NA,3516.40,69.34,-35.07,NA
31-JUL-06,Hindalco In,Angel,Result Update,146.31,163.42,113.10,-22.70,-70.36,Pending
31-JUL-06,Amarajaba,Angel,Buy,18.98,22.67,879.10,4531.72,1675.91,Achieved
31-JUL-06,Asianelec,Brics,Buy,153.72,322.50,1.78,-98.84,-99.56,Pending
31-JUL-06,Unichem Lab,Karvy,Results Review,92.12,132.00,194.75,111.41,-18.94,Achieved
01-AUG-06,Mawana Sugar,HDFC Sec,Results Review,56.85,NA,27.90,-50.92,-81.17,NA
01-AUG-06,Libertshoe,Karvy,Buy,129.25,280.00,230.50,78.34,-31.57,Pending
01-AUG-06,Spanco,Emkay,Buy,111.70,161.00,3.12,-97.21,-98.93,Pending
01-AUG-06,Varun Shipng,Emkay,Buy,67.35,89.00,11.25,-83.30,-93.59,Pending
01-AUG-06,Shree Cemen,Karvy,Results Review,908.50,1150.00,11411.00,1156.03,381.94,Achieved
02-AUG-06,Prem Explosi,Karvy,Results Review,36.25,75.00,289.00,697.24,209.45,Achieved
02-AUG-06,Avantel ,Karvy,Results Review,40.65,85.00,101.00,148.46,-3.56,Achieved
02-AUG-06,Balaram Chini,Karvy,Results Review,90.35,140.00,40.80,-54.84,-82.47,Pending
02-AUG-06,Glenmark Pha,Brics,Buy,154.18,198.00,1018.20,560.40,156.33,Achieved
02-AUG-06,Fame India,Brics,Buy,43.04,89.18,35.05,-18.56,-68.39,Pending
02-AUG-06,Bajajhldng,Brics,Buy,2543.30,3300.00,1455.00,-42.79,-77.79,Pending
02-AUG-06,Cub,Karvy,Results Review,8.64,11.34,101.70,1077.08,356.88,Achieved
03-AUG-06,Dredgecorp,Karvy,Results Review,480.05,545.00,361.10,-24.78,-70.68,Pending
03-AUG-06,Deccan Chr,Emkay,Buy,81.56,96.00,1.82,-97.77,-99.13,Pending
03-AUG-06,Omaxauto,Karvy,Results Review,84.85,140.00,46.05,-45.73,-78.84,Pending
04-AUG-06,Subex,Karvy,Results Review,393.90,540.00,13.40,-96.60,-98.68,Pending
04-AUG-06,Fedderloy,Brics,Buy,113.45,207.00,73.85,-34.91,-74.76,Pending
04-AUG-06,Patni Compu,Karvy,Results Review,345.65,450.00,515.75,49.21,-42.14,Achieved
04-AUG-06,Asianelec,Brics,Buy,175.40,322.50,1.78,-98.99,-99.61,Pending
05-AUG-06,Sasken Comm,Brics,Buy,288.85,438.00,240.00,-16.91,-67.78,Pending
07-AUG-06,Cipla Ltd.,HDFC Sec,Results Review,229.85,NA,633.25,175.51,6.31,NA
07-AUG-06,E I D Parry,Karvy,Results Review,98.90,111.50,143.85,45.45,-43.87,Achieved
07-AUG-06,Venusrem,Brics,Buy,290.75,602.00,145.30,-50.03,-80.72,Pending
08-AUG-06,Eveready,HDFC Sec,Management Meet,101.45,NA,330.55,225.83,28.08,NA
08-AUG-06,Assamco,Karvy,Buy,19.00,36.00,3.55,-81.32,-92.66,Pending
08-AUG-06,Wockpharma,Karvy,Results Review,342.35,440.00,1424.45,316.08,63.56,Achieved
10-AUG-06,Mercator,Karvy,Company Update,34.50,52.00,18.85,-45.36,-78.26,Pending
10-AUG-06,H E G,Emkay,Buy,119.05,205.00,204.50,71.78,-31.65,Pending
11-AUG-06,Suryalaxmi,Karvy,Results Review,85.10,107.00,91.00,6.93,-57.29,Pending
14-AUG-06,Asian Paints,HDFC Sec,Results Review,64.85,NA,762.00,1075.02,374.40,NA
14-AUG-06,Biocon ,Karvy,Company Update,183.28,207.50,464.00,153.16,2.21,Achieved
14-AUG-06,Maninds,HDFC Sec,Management Meet,89.92,NA,90.80,0.98,-59.23,NA
16-AUG-06,Cadila Heal,Karvy,Company Update,207.53,263.35,1825.45,779.61,259.38,Achieved
16-AUG-06,Syngenta India,Angel,Buy,293.85,339.00,715.00,143.32,-0.59,Achieved
18-AUG-06,Ipca Labora,Karvy,Company Update,73.17,100.00,705.00,863.51,294.25,Achieved
